"","COMID","acm_resp","reach_lgt","reach_slp","river_lgt","river_slp","reach_area","wshd_area","reach_resp","d50m","order","doc_annual","do_annual","nitrates","res_time","hz_exchng","aer_resp","anb_resp","p_ant","p_frt","p_shb","p_ant_t","p_frt_t","p_shb_t","hl","hrl","ht","hrt"
"1",23099412,188677.6929,1.315,0,11437.56,0.033914,0.67,15230.09,3.307657957,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8409,0.1591,0,0.2706,0.3063,0.4231,0.438174456152157,0.398843578095574,1.08004418619111,0.983098584761405
"2",23099414,188674.3852,0.316,0,11436.24,0.033918,0.19,15229.42,1.653515935,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7704,0.2296,0,0.2706,0.3063,0.4231,0.538792565108662,0.490430127776798,1.08004418619111,0.983098584761405
"3",23099416,188672.7317,0.021,0,11435.93,0.033919,0,15229.23,136.8334198,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0.2706,0.3063,0.4231,0,0,1.08004418619111,0.983098584761405
"4",23099418,188535.8983,0.171,0,11435.91,0.033919,0.15,15229.23,2.213973761,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5603,0.2228,0.2169,0.2706,0.3063,0.4231,0.990594499293694,0.901677970937891,1.08004418619111,0.983098584761405
"5",23099420,188533.6843,3.264,0,11435.74,0.033919,5.88,15229.08,0.127100901,0.000217801,7,2.325392027,10.86329643,0.424408403,8.500440021,-5.790458178,0.125761852,0.001339049,0.7859,0.1244,0.0897,0.2706,0.3063,0.4231,0.664916830235371,0.605233381324612,1.08004418619111,0.983098584761405
"6",23099422,188533.5572,0.427,0,11432.47,0.033929,0.36,15223.2,7.002669334,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7935,0.0075,0.199,0.2703,0.3064,0.4233,0.541509962244507,0.492903609244168,1.0799421705495,0.983005726122685
"7",23099424,188526.5545,0.686,0,11432.05,0.03393,4.99,15222.84,6.175460339,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6667,0.0054,0.3279,0.2703,0.3064,0.4233,0.664109356109915,0.604498386701136,1.0799421705495,0.983005726122685
"8",23099426,188520.3791,0.267,0,11431.36,0.033932,7.01,15217.85,2.757104217,0.003714601,7,2.242631455,10.86319567,0.424341161,6.443547233,-4.408366728,2.730007693,0.027096524,0.5702,0.0044,0.4254,0.2702,0.3065,0.4233,0.707795410337274,0.644263146915426,1.07992959983403,0.982994283764359
"9",23099428,188517.622,0.446,0,11431.09,0.033933,0.48,15210.84,4.019127632,0.004184066,7,2.319088667,10.86313273,0.42429019,6.418808099,-4.294478387,3.976278361,0.042849272,0.8658,0.034,0.1002,0.2701,0.3066,0.4233,0.470249191712558,0.428039260586334,1.07991695948251,0.982982778020568
"10",23099430,188513.6029,0.217,0,11430.65,0.033934,0.54,15210.37,0.583049007,0.001450996,7,2.35605652,10.86312851,0.424287858,7.459046409,-5.158659303,0.576692629,0.006356379,0.9402,0.01,0.0498,0.2701,0.3066,0.4233,0.253414001849126,0.23066736505956,1.07991695948251,0.982982778020568
"11",23099432,188513.0198,2.19,0,11430.43,0.033935,12.01,15209.82,1.396663287,0.002312849,7,2.278105705,11.47748392,0.424284906,7.053400764,-4.752402303,1.3852468,0.011416487,0.7788,0.0037,0.2175,0.2701,0.3066,0.4233,0.547227169359153,0.498107635426669,1.07991695948251,0.982982778020568
